,Filename,FloorName,pos_x,pos_y,pos_z,ang_x,ang_y,ang_z,free_perc
0,FP201_0,FloorPlan201,-4.0,0.9026570916175842,1.5,0,0,0,71.54083251953125
1,FP201_1,FloorPlan201,-4.0,0.9026570916175842,1.5,0,45,0,72.04437255859375
2,FP201_2,FloorPlan201,-4.0,0.9026570916175842,1.5,0,90,0,68.25408935546875
3,FP201_3,FloorPlan201,-4.0,0.9026570916175842,1.5,0,135,0,76.74102783203125
4,FP201_4,FloorPlan201,-4.0,0.9026570916175842,1.5,0,180,0,84.30938720703125
5,FP201_5,FloorPlan201,-4.0,0.9026570916175842,1.5,0,225,0,90.0482177734375
6,FP201_6,FloorPlan201,-4.0,0.9026570916175842,1.5,0,270,0,89.691162109375
7,FP201_7,FloorPlan201,-4.0,0.9026570916175842,1.5,0,315,0,82.73773193359375
8,FP201_8,FloorPlan201,-4.0,0.9026570916175842,2.0,0,0,0,75.6988525390625
9,FP201_9,FloorPlan201,-4.0,0.9026570916175842,2.0,0,45,0,70.9381103515625
10,FP201_10,FloorPlan201,-4.0,0.9026570916175842,2.0,0,90,0,70.14007568359375
11,FP201_11,FloorPlan201,-4.0,0.9026570916175842,2.0,0,135,0,66.650390625
12,FP201_12,FloorPlan201,-4.0,0.9026570916175842,2.0,0,180,0,79.1229248046875
13,FP201_13,FloorPlan201,-4.0,0.9026570916175842,2.0,0,225,0,85.71319580078125
14,FP201_14,FloorPlan201,-4.0,0.9026570916175842,2.0,0,270,0,88.60321044921875
15,FP201_15,FloorPlan201,-4.0,0.9026570916175842,2.0,0,315,0,83.62579345703125
16,FP201_16,FloorPlan201,-4.5,0.9026570916175842,1.5,0,0,0,72.515869140625
17,FP201_17,FloorPlan201,-4.5,0.9026570916175842,1.5,0,45,0,63.83819580078125
18,FP201_18,FloorPlan201,-4.5,0.9026570916175842,1.5,0,90,0,61.43646240234375
19,FP201_19,FloorPlan201,-4.5,0.9026570916175842,1.5,0,135,0,72.50823974609375
20,FP201_20,FloorPlan201,-4.5,0.9026570916175842,1.5,0,180,0,85.2447509765625
21,FP201_21,FloorPlan201,-4.5,0.9026570916175842,1.5,0,225,0,94.2138671875
22,FP201_22,FloorPlan201,-4.5,0.9026570916175842,1.5,0,270,0,98.175048828125
23,FP201_23,FloorPlan201,-4.5,0.9026570916175842,1.5,0,315,0,87.58087158203125
24,FP201_24,FloorPlan201,-4.0,0.9026570916175842,1.0,0,0,0,70.5657958984375
25,FP201_25,FloorPlan201,-4.0,0.9026570916175842,1.0,0,45,0,65.4144287109375
26,FP201_26,FloorPlan201,-4.0,0.9026570916175842,1.0,0,90,0,69.1864013671875
27,FP201_27,FloorPlan201,-4.0,0.9026570916175842,1.0,0,135,0,80.0567626953125
28,FP201_28,FloorPlan201,-4.0,0.9026570916175842,1.0,0,180,0,88.51470947265625
29,FP201_29,FloorPlan201,-4.0,0.9026570916175842,1.0,0,225,0,94.03533935546875
30,FP201_30,FloorPlan201,-4.0,0.9026570916175842,1.0,0,270,0,91.0308837890625
31,FP201_31,FloorPlan201,-4.0,0.9026570916175842,1.0,0,315,0,81.1798095703125
32,FP201_32,FloorPlan201,-3.5,0.9026570916175842,2.0,0,0,0,77.4078369140625
33,FP201_33,FloorPlan201,-3.5,0.9026570916175842,2.0,0,45,0,78.15093994140625
34,FP201_34,FloorPlan201,-3.5,0.9026570916175842,2.0,0,90,0,79.69207763671875
35,FP201_35,FloorPlan201,-3.5,0.9026570916175842,2.0,0,135,0,71.3470458984375
36,FP201_36,FloorPlan201,-3.5,0.9026570916175842,2.0,0,180,0,80.0750732421875
37,FP201_37,FloorPlan201,-3.5,0.9026570916175842,2.0,0,225,0,83.65631103515625
38,FP201_38,FloorPlan201,-3.5,0.9026570916175842,2.0,0,270,0,79.6661376953125
39,FP201_39,FloorPlan201,-3.5,0.9026570916175842,2.0,0,315,0,82.623291015625
40,FP201_40,FloorPlan201,-4.0,0.9026570916175842,2.5,0,0,0,81.53533935546875
41,FP201_41,FloorPlan201,-4.0,0.9026570916175842,2.5,0,45,0,73.18572998046875
42,FP201_42,FloorPlan201,-4.0,0.9026570916175842,2.5,0,90,0,71.6766357421875
43,FP201_43,FloorPlan201,-4.0,0.9026570916175842,2.5,0,135,0,61.74774169921875
44,FP201_44,FloorPlan201,-4.0,0.9026570916175842,2.5,0,180,0,73.65875244140625
45,FP201_45,FloorPlan201,-4.0,0.9026570916175842,2.5,0,225,0,83.038330078125
46,FP201_46,FloorPlan201,-4.0,0.9026570916175842,2.5,0,270,0,87.98980712890625
47,FP201_47,FloorPlan201,-4.0,0.9026570916175842,2.5,0,315,0,84.0545654296875
48,FP201_48,FloorPlan201,-4.5,0.9026570916175842,2.0,0,0,0,75.66680908203125
49,FP201_49,FloorPlan201,-4.5,0.9026570916175842,2.0,0,45,0,65.05889892578125
50,FP201_50,FloorPlan201,-4.5,0.9026570916175842,2.0,0,90,0,61.199951171875
51,FP201_51,FloorPlan201,-4.5,0.9026570916175842,2.0,0,135,0,66.1834716796875
52,FP201_52,FloorPlan201,-4.5,0.9026570916175842,2.0,0,180,0,80.999755859375
53,FP201_53,FloorPlan201,-4.5,0.9026570916175842,2.0,0,225,0,90.80963134765625
54,FP201_54,FloorPlan201,-4.5,0.9026570916175842,2.0,0,270,0,97.71881103515625
55,FP201_55,FloorPlan201,-4.5,0.9026570916175842,2.0,0,315,0,87.2528076171875
56,FP201_56,FloorPlan201,-4.5,0.9026570916175842,1.0,0,0,0,70.91827392578125
